Suburb,Postcode,LGA_ID,LGA_Name
Thomastown,3074,707,Whittlesea
Wangaratta,3676,670,Wangaratta
Wahgunyah,3687,335,Indigo
Woodend,3442,413,Macedon
Woodford,3281,673,Warrnambool
Werribee,3030,726,Wyndham
Beechworth,3747,335,Indigo
Wallan,3756,485,Mitchell
Woolsthorpe,3276,549,Moyne
Yandoit,3461,291,Hepburn
Yarram,3971,681,Wellington
Lake Wendouree,3350,57,Ballarat
Yea,3717,562,Murrindindi
Lancefield,3435,413,Macedon
Coimadai,3340,515,Moorabool
Birregurra,3242,175,Colac-Otway
Clayton,3168,497,Monash
Milawa,3678,670,Wangaratta
Lockwood,3551,262,Greater
Bealiba,3475,167,Central
Bairnsdale,3875,211,East
